"sp","numbr","Ptreat.MPa","stemID","nomID","t.s","t.day","dt.s","bal.g","Q.g.s","rmQ.g.s","p.MPa","pleaf.MPa","Tsoln.C","ver","keep","usefork","measure"
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",0,321.562735306712,NA,77.5904,NA,NA,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",6.18745303153992,321.562806920751,6.18745303153992,77.5903,1.61617388440899e-05,NA,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",12.373603105545,321.562878519711,6.18615007400513,77.5901,3.23302858166198e-05,NA,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",18.5597920417786,321.56295011912,6.18618893623352,77.59,1.61650413585179e-05,NA,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",24.7458250522614,321.563021716724,6.18603301048279,77.5898,3.23308976298981e-05,2.42469909122815e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",30.9317109584808,321.563093312626,6.18588590621948,77.5897,1.61658332406806e-05,2.42480145114291e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",37.1186730861664,321.563164920984,6.18696212768555,77.5896,1.61630211931938e-05,2.02061983555726e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",43.3063011169434,321.563236537049,6.18762803077698,77.5894,3.23225635117125e-05,2.42455788938713e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",49.4929370880127,321.563308141632,6.18663597106934,77.5894,0,1.61628544863967e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",55.6792891025543,321.563379742928,6.18635201454163,77.5893,1.61646152321693e-05,1.61625499842689e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
"quag_kleaf","66_1",-2,"quag_kleaf 66_1","quag_kleaf 66_1 -2 MPa",61.8660659790039,321.563451349142,6.18677687644958,77.5891,3.23270103280841e-05,2.02035472679915e-05,0.207,-0.207,20.3,"v18",FALSE,FALSE,1
